R1,R2,R3,R4,X,Y,low_barrier,barrier
E,A,D,D,C,B,-12.210838632592218,-20.673766273053197
B,A,C,B,A,B,-20.39505564713839,-17.890888223764613
E,B,A,A,C,A,-0.27564608653862765,-15.604469529598772
D,A,C,C,C,B,-16.235125915968503,-14.95175335230227
A,E,A,D,C,B,-6.392219384202073,-14.391001754004757
C,C,C,C,B,A,0.5224141873578125,-14.24712883017494
E,A,A,D,C,B,-5.391755929112225,-13.632560812429327
C,B,C,C,B,A,1.4438239986867327,-12.913736897408748
C,B,C,C,A,A,-1.5970555371515684,-12.164957537128137
C,C,C,B,B,A,-1.0300317013502949,-12.051735040779986
C,E,C,C,B,B,-15.046510020445158,-11.448708097890076
A,C,A,A,C,B,-3.406359878822251,-10.88128217794573
C,C,C,B,A,A,-2.1000232058909174,-10.560199041877164
B,A,A,A,B,B,-2.641193651468869,-9.851573772535152
B,C,C,A,C,B,-6.8024725278654685,-9.846204214129132
E,B,A,C,C,B,-8.053877021663043,-9.753080566334331
C,C,C,A,A,B,-3.967397274271772,-9.534758303456236
C,C,A,C,A,B,-4.236379210331099,-9.5338023517503
E,B,A,D,C,A,4.7977805612789375,-9.356548568085817
C,C,A,C,B,B,-4.417597671354096,-9.3277592050145
C,C,B,C,B,A,1.011507621605724,-9.228697444431328
A,E,B,C,B,B,-13.587061035800962,-9.210982558346071
B,E,D,A,C,A,4.372140885090686,-9.187105283708831
B,A,E,B,C,B,-4.918049027032471,-9.096514099825107
C,C,C,A,C,B,-4.166073048871921,-8.62869467078362
C,E,D,C,C,A,3.9413870068408436,-8.54694552066723
A,C,C,E,B,B,-1.6125487460149421,-8.543081218651253
C,A,E,C,B,B,-1.5631825757658113,-8.50313998022798
D,A,D,A,B,B,-1.2393814120109619,-8.475836805193644
C,C,B,B,B,A,0.15845869239269944,-8.431964388118667
C,E,D,A,C,A,3.319518842802494,-8.304581693834537
E,C,A,D,C,A,3.3344410180908555,-8.302314186219508
C,C,A,B,B,A,6.698312230319689,-8.215604153402209
A,B,C,E,A,A,-1.0774714175552988,-8.06008069998737
D,A,A,D,B,B,-0.03424946708351235,-8.022574431038398
C,C,C,A,B,A,11.588041754865614,-7.995571154135032
C,C,A,C,B,A,11.635550497167522,-7.992696266576656
B,B,E,D,C,B,1.138948520844423,-7.977027735589097
B,C,E,D,C,B,0.6090104947739043,-7.802807588854869
E,D,B,C,C,B,-5.109514717834503,-7.649388658966436
C,C,A,C,C,A,11.39445508199952,-7.628126246083074
A,A,A,A,C,B,-1.359624777508301,-7.4710404960847425
A,E,B,D,B,B,-3.1775824747709365,-7.359075710537458
A,A,E,C,C,B,-0.7201298724144175,-7.291038314766587
A,C,C,E,B,A,-1.8610236724594438,-7.239180341805793
C,B,A,A,C,B,-0.6820588725985655,-7.228721470215238
A,A,A,D,A,B,-5.100102075747321,-7.149812372082583
A,C,E,C,B,A,0.7279298152293818,-7.093818275339457
C,C,C,A,C,A,11.84143008039473,-7.074785358993977
A,B,C,E,B,B,-0.2109686851752823,-7.052033244671261
C,B,E,D,C,B,3.069738696615286,-7.048127952366448
D,D,A,D,C,B,-1.9759457576758201,-6.999782737866667
C,C,C,D,B,A,12.894064673025039,-6.975183910086408
C,A,E,C,C,A,-2.5025077825233,-6.932372618287888
C,A,E,C,A,A,-1.0673245893360925,-6.8936905354700775
A,D,D,C,A,A,-0.27173670265991656,-6.851217261208807
A,B,C,A,C,B,-3.0586506041873616,-6.830924065267304
B,A,A,C,C,B,-2.8424171144145647,-6.830348538155599
B,E,A,A,C,A,5.721217228318821,-6.786225356792826
C,A,C,D,A,B,-1.1115765574166239,-6.757990917038636
C,A,C,D,C,A,0.3386794132025023,-6.755195231310428
C,C,E,D,C,B,-0.4143507808546917,-6.70991955751856
C,C,B,B,A,A,-1.5926253202459058,-6.70568429816837
D,E,B,A,C,B,-0.4220628723449358,-6.686710009036362
C,C,C,A,A,A,10.102036569328995,-6.680855172138191
C,C,A,B,A,A,7.540285617304226,-6.654903581573073
B,B,A,A,B,A,32.16835074893575,-6.603774068210191
C,B,A,A,C,A,28.430822744996227,-6.58148237967173
B,B,E,D,C,A,-1.668127260205694,-6.540555241762698
D,D,A,D,C,A,0.20823901886655719,-6.5295053822066365
C,C,D,C,B,A,13.004550266164694,-6.396640217671711
C,C,A,E,C,B,1.7347185656277477,-6.367519886304184
C,B,A,A,B,B,0.8740202958503249,-6.343435527954425
B,C,A,A,B,B,0.9351648190683842,-6.329457044167904
C,B,A,D,C,B,0.24484164663237903,-6.321106853488406
B,C,D,A,C,B,0.07350645974741792,-6.319427494952123
B,B,E,E,C,A,0.9998735958589828,-6.317389748970784
C,B,A,A,B,A,32.86221934985916,-6.308607725548463
C,A,A,A,C,B,1.0341669886405251,-6.2759372416586965
C,C,E,A,C,B,1.6118459354171801,-6.233316362015091
D,D,D,A,C,A,0.6303709173797366,-6.225658008623722
A,A,E,C,B,B,0.5420615089532512,-6.168740129004917
E,A,A,B,C,B,-7.501028624711661,-6.029086276435936
C,B,D,E,C,B,2.7601004215108906,-5.9804345723144845
C,B,C,A,B,A,13.868593161381204,-5.921673768653296
A,C,A,C,C,A,0.7087845009693717,-5.859519172251589
C,B,C,A,A,A,12.481150888935803,-5.825411415726258
C,C,A,A,B,B,1.443579269940388,-5.824675064117325
C,C,D,B,B,A,10.336875714928684,-5.74398705276057
A,C,D,C,A,A,0.14038641954250652,-5.739396194664697
C,C,B,A,A,A,8.106336813505198,-5.665766584310731
C,C,E,E,C,B,2.2825092360583095,-5.653367501767824
B,B,E,D,B,A,1.7597248181024605,-5.62732060432244
C,C,D,A,C,B,1.0478153197561133,-5.624184600819632
A,E,E,D,C,A,3.580537683525513,-5.618932818689493
A,C,A,C,B,B,-3.8737226600089727,-5.617649324128032
C,C,E,D,B,B,2.2494018361961605,-5.606543906743401
A,C,E,E,C,B,4.553848803463693,-5.53503814648247
B,B,D,E,C,B,5.246393359487918,-5.491761867376393
C,B,A,D,B,B,2.170674497549258,-5.470072239560428
B,B,A,E,C,B,3.6729510038149757,-5.407728759026008
A,A,A,A,B,B,1.4652973728734802,-5.378397070634514
C,C,D,D,C,B,0.4774029328890615,-5.375126976923471
C,B,E,D,C,A,0.39327273766485493,-5.341880384147825
C,C,A,E,B,B,3.97487091211539,-5.302460018737332
C,C,E,E,B,A,2.6783045617411774,-5.291019228480237
B,A,E,C,B,A,1.4748794425817235,-5.279795011667644
C,E,E,C,B,A,-0.4970879049401324,-5.275083137801788
A,B,C,E,B,A,2.0090531573952903,-5.265150567023685
C,B,C,E,A,A,11.421268561909066,-5.256561549948319
B,C,D,A,B,B,2.025242901828047,-5.247213703164976
B,A,D,A,C,B,1.7014856637712272,-5.237763689345853
C,D,E,C,B,B,0.135523221112961,-5.2349539859633
A,C,A,A,C,A,0.09890176811932305,-5.164405628455111
A,B,D,E,C,B,4.292484832470172,-5.116884530924805
C,C,E,A,B,B,2.578273276457249,-5.114874480247778
C,B,A,E,C,B,2.3554258368602206,-5.109713348307621
B,C,E,D,B,A,1.226937899185262,-5.096166121125575
C,A,E,E,C,B,4.609910499976076,-5.069265347766729
B,B,E,A,C,B,2.749445310892207,-5.064343199526186
C,C,D,E,B,A,0.7237192265998498,-5.062580534495026
C,B,C,E,B,A,12.200848681972984,-5.054040190195206
A,B,A,D,C,B,1.856041247563283,-5.052523704172463
E,B,A,B,B,A,-0.7444646898613008,-5.044577997427757
C,C,E,D,B,A,0.7999992782826831,-5.036357290132566
C,C,E,E,B,B,4.657927524784471,-5.035208494733889
B,C,D,E,C,A,-1.2982543507717133,-5.032077521241323
C,C,E,A,C,A,-0.8641181962704538,-5.023948869454259
C,C,A,E,C,A,-0.8241019171113194,-5.019079552158648
A,C,C,A,C,A,-1.5669225321304703,-5.009733409891597
C,A,A,C,C,A,-1.4458822298962886,-5.0075238425613415
B,C,E,A,C,B,4.052029476902747,-4.988293649981758
C,D,E,C,C,B,0.9271013224219383,-4.984280777894141
A,B,C,E,C,A,1.296541250046678,-4.968341294091832
C,A,A,C,B,A,-1.3125176412316828,-4.967128500894344
C,C,A,D,B,B,2.4016168092913253,-4.966382936208273
C,C,E,C,B,B,-1.7751678263107649,-4.962188503422611
A,A,C,E,C,A,-0.03691638232371232,-4.944958367345989
A,A,E,C,C,A,-0.030565986544980852,-4.936267607134555
B,A,E,E,C,B,5.783083387148439,-4.900689672384018
E,B,A,C,C,A,8.436205993694124,-4.888872720428564
B,C,E,E,B,B,4.244229353729793,-4.886780526234293
C,C,D,A,B,B,2.478354942896915,-4.852483495776852
E,C,A,E,C,A,-1.2604155295741082,-4.849744714482895
C,E,E,C,C,A,-1.746170613411311,-4.84219053455265
C,A,D,A,C,B,1.7629690421600699,-4.832480289114375
B,A,E,D,C,B,2.5974374157310565,-4.8299961075373945
C,E,E,B,B,B,-1.7444010368601484,-4.819080031358087
A,B,A,A,C,B,1.4472941261201915,-4.798837695534617
A,C,A,A,A,B,2.2999037986739452,-4.794460985979998
A,A,C,E,B,B,0.6928959612517663,-4.792804361544798
E,A,D,B,C,B,-0.24666769929502752,-4.7924962069289565
C,C,C,E,A,A,12.78869955726071,-4.771349400421514
A,C,A,A,B,B,2.9493196284685066,-4.765622517494327
C,C,E,C,B,A,12.565757991310582,-4.753283534542231
A,C,A,E,C,B,2.974413732339279,-4.703066097909685
C,A,E,A,C,B,3.032006552041557,-4.688956571041888
C,C,D,E,B,B,3.893608435179698,-4.6569901593188
A,E,E,C,B,A,2.8851379594835502,-4.647466859717182
B,C,E,E,B,A,1.9339967492301613,-4.608937000448624
C,D,C,E,B,B,0.9485370458676954,-4.593005722266076
A,D,C,D,C,B,0.1502634184381451,-4.582635864549837
B,B,A,E,C,A,2.068264951398165,-4.575275996480637
A,B,E,E,C,A,4.126489751236669,-4.563492957643541
A,A,E,C,B,A,0.9491833806393298,-4.5541954020451785
A,B,A,C,B,A,-0.3832325860338547,-4.551078216136853
C,C,E,C,C,A,11.925648127157675,-4.542956893705639
E,A,E,C,C,A,0.1473141242813266,-4.53021773430185
A,A,C,E,B,A,0.8628631773968358,-4.511339188862282
C,B,D,E,B,B,2.9911933357175426,-4.508769642358535
C,B,D,D,C,B,2.0151525496133167,-4.439293753617454
A,D,C,A,B,B,1.1169668638658306,-4.419410102582358
C,C,D,D,B,B,2.70695036927041,-4.405269912612891
A,C,D,E,C,A,2.260584055191203,-4.391465164001872
C,A,C,C,B,A,9.575204715336294,-4.371114048678088
A,B,E,E,C,B,6.676230172030959,-4.366430858954292
B,A,A,A,B,A,2.578687432753316,-4.356749965182413
A,C,C,C,B,A,9.651986774568575,-4.3545858299565
B,B,E,A,C,A,2.6409363727371056,-4.305476377567451
E,A,E,C,B,A,1.5786506842303107,-4.305450780787864
D,A,C,A,C,B,0.012041906729070486,-4.300650635335894
E,D,A,B,C,B,0.10877876751433861,-4.284467045510326
C,A,C,C,C,A,10.153962978408467,-4.228079622519152
C,B,E,D,B,A,1.959850139596163,-4.214581647247263
C,A,E,D,C,A,2.2620022264434847,-4.165210904773896
A,C,A,C,A,A,0.6008779719592148,-4.164513201518468
D,E,A,B,C,B,1.5079178162042897,-4.160193098163036
A,E,B,A,C,B,-1.9481596380946338,-4.112904564199284
A,C,D,A,C,B,2.5353892790809396,-4.105112396612469
A,A,E,C,A,A,3.8266406241668984,-4.083245626086549
B,C,A,E,C,B,4.242422126722998,-4.080035716717723
E,E,C,E,B,A,0.2839354868462812,-4.07976961328143
D,A,C,A,B,B,0.0800451085177061,-4.077536055453295
E,A,D,C,B,A,1.8768243611376871,-4.062380239513584
C,A,E,A,B,B,5.845602156206109,-4.048256373107312
A,D,E,C,C,B,2.122368818225149,-4.026311588412346
D,A,E,C,A,A,3.5707924614029363,-3.979023464258741
A,E,E,C,C,A,3.7770422754778696,-3.9779707672885047
D,A,D,C,B,B,1.582999324910972,-3.9587381926094136
C,E,B,D,B,B,-0.31595102014213666,-3.9466146042868
B,B,E,E,B,A,5.503258087478872,-3.944505420003754
E,A,D,A,B,A,5.775710151042997,-3.938206258947126
C,B,E,E,B,A,4.259415083134995,-3.932928764966678
C,B,D,E,B,A,1.443742422461731,-3.92072368495645
D,A,C,E,C,B,2.143729240545623,-3.867391955235052
B,E,E,D,C,A,1.705595851019281,-3.866227225501863
A,B,D,D,C,B,1.9345175820074245,-3.843425512201992
B,A,D,D,C,B,2.080796315477245,-3.833581056490991
B,C,A,D,C,B,1.880501566433821,-3.8070310732699335
E,C,C,E,B,A,2.936267431398144,-3.800893589789085
A,D,B,E,A,A,1.9658114795847113,-3.798118791858277
C,A,A,E,C,B,3.832783942118625,-3.794361266769609
E,C,A,C,C,A,9.033105555856071,-3.7881474477397457
C,C,E,A,B,A,3.07381123305101,-3.77845898969082
A,D,A,C,B,B,0.9920673780869791,-3.7777914112086832
B,C,E,E,C,B,7.326110358669646,-3.775708993174757
C,C,A,E,B,A,3.02408738233194,-3.768153525850672
C,B,A,E,C,A,1.874082144772204,-3.764820683782008
B,C,E,A,C,A,1.9807838556351518,-3.762416717556434
A,B,C,D,B,A,-1.4936231505310857,-3.740690367198594
A,C,E,A,C,B,4.687771875361195,-3.737303080626654
C,C,D,B,A,A,7.886639471541341,-3.721991602748875
B,C,E,A,B,B,5.934790077737118,-3.697126807148841
B,A,D,C,B,A,2.141940838766644,-3.6880910151868473
B,A,E,E,B,A,5.682744622406339,-3.59844729780953
A,B,E,E,B,A,5.867928943312524,-3.5766594742175024
E,A,C,E,C,A,3.379063216591075,-3.574270906566287
A,B,A,E,B,B,6.3481431185212935,-3.5551009312164608
E,C,E,C,C,B,1.1035444363401103,-3.550393808351798
A,D,C,E,A,A,4.42477637972496,-3.546045988397194
C,B,D,A,C,B,1.7000925929178197,-3.5376871906345166
A,B,A,E,C,B,5.012081322050568,-3.4961902019605056
D,A,A,D,C,A,4.054577165533652,-3.493799725191118
E,D,A,D,C,B,1.8461893485671417,-3.4166900876475466
E,D,B,D,B,A,1.2100202437558694,-3.395603475362851
E,A,C,E,B,A,4.025730554956104,-3.3920544630609237
A,C,E,D,C,B,3.6386576110334334,-3.378287329449771
B,A,E,A,C,B,5.03211769940052,-3.3583636971526856
E,B,E,C,C,A,13.367752749734297,-3.32622486832395
E,A,A,B,B,B,1.4632642422054776,-3.3195380940702086
A,C,D,E,B,B,6.394490968231343,-3.3105566589351616
C,A,E,D,B,B,6.284532483111349,-3.3037380298272017
D,A,C,A,A,B,2.267812964181467,-3.303319760947734
E,A,A,C,C,A,2.613313405605923,-3.246097046856569
C,C,A,D,A,B,4.711410157310034,-3.2441600596322746
C,C,D,A,A,B,5.07131194106724,-3.2182203786372763
D,C,D,E,C,A,2.47265088160446,-3.2110062103992165
A,E,C,D,C,A,1.75656844558359,-3.199855936406536
A,B,A,D,B,B,4.3235967521199505,-3.1803361557616543
C,A,D,A,B,B,4.365734013343148,-3.166990213312684
E,A,A,A,B,B,6.915562285319478,-3.1647156659804483
C,A,D,D,B,B,4.377606492522496,-3.137799996777178
A,C,D,D,B,B,4.1142784168865365,-3.1305560877510508
C,B,D,A,B,B,3.3703973108710246,-3.1251749473662063
E,A,D,C,C,A,1.8318946826799192,-3.123497145245273
A,E,A,B,A,A,2.2573900318243325,-3.098585494708888
B,A,E,D,C,A,3.7093214529625502,-3.086629653354129
E,E,A,B,A,A,3.8590828639939274,-3.053101356534176
D,A,E,A,C,A,4.7333478887332765,-3.037768594139661
D,D,A,C,C,B,1.2873733365631617,-3.0179594980893096
C,B,E,A,C,B,6.329744540771094,-3.0012687601277217
B,D,E,D,C,A,4.700535418058522,-2.9970685443426794
E,E,B,E,B,A,-0.35316233200994207,-2.9928937024724145
C,D,C,C,B,A,11.675522850628626,-2.9706961949331614
C,A,C,A,B,A,-0.7040091540785651,-2.946655796239066
E,A,A,D,C,A,6.600288975590248,-2.922462872550375
E,B,D,C,C,A,11.993243447393265,-2.8916164219141134
C,A,C,C,A,A,9.205469858096123,-2.881357585758124
B,C,A,D,B,B,3.207928832968447,-2.874782934904256
B,C,D,E,C,B,3.648798164188591,-2.870400202256941
A,D,E,C,B,B,2.8714394276415534,-2.863679937357763
D,E,B,D,B,B,2.197519352886056,-2.8593351363866564
A,C,A,E,B,B,5.348752704841263,-2.856692979472104
E,D,C,A,C,A,3.248026688281244,-2.85371831268462
B,C,D,E,B,A,2.3573460159473076,-2.8505729523554457
D,B,A,D,C,B,4.524845315535861,-2.810324739914838
A,E,C,D,B,A,3.2371142985740993,-2.79510333623137
D,A,C,E,B,B,2.8682642297521874,-2.794908070346285
A,C,A,E,C,A,4.567277506017792,-2.7917007302006525
D,E,A,C,C,A,4.783987903083841,-2.7834887275454987
A,C,C,A,C,B,0.08899966861079153,-2.778939759437421
E,B,C,A,B,A,3.545114773722045,-2.754127426313452
E,A,B,D,C,B,2.232377504142892,-2.7525123253233468
A,E,D,B,C,B,2.1093919222800697,-2.7405346153591417
B,D,E,B,A,A,2.3517047057233778,-2.730853507140522
E,D,D,C,C,A,3.5049290670131885,-2.7146165212179665
C,A,E,A,C,A,4.559803868459532,-2.711812396232914
D,E,C,D,C,A,2.2845360916265935,-2.7069584660259918
C,E,E,D,C,B,3.7677049342306126,-2.695512516634037
D,D,A,A,B,B,2.682628102022964,-2.6819114981337973
B,A,E,E,B,B,7.441201871364405,-2.6667148727510552
C,B,A,E,B,A,4.844109585761171,-2.656734982152308
A,B,E,D,C,B,8.022470172183814,-2.6560726974227955
D,C,A,E,C,B,5.900101353958664,-2.6497101776272047
B,C,E,A,B,A,4.86784199413445,-2.6439213692086403
D,E,A,C,B,A,4.987451574916912,-2.6350912014942893
E,D,C,D,C,A,2.3922920183861844,-2.63424588411743
E,D,C,A,B,A,5.079984121958349,-2.628273885890451
D,E,D,B,B,A,-1.3117709050072306,-2.626554936034256
B,A,A,C,C,A,1.5525588403603623,-2.624147160204425
A,D,E,C,B,A,3.073692006227697,-2.623693262489996
B,A,A,C,B,A,4.542810911833517,-2.6184620755223484
C,E,C,E,B,A,1.4240951007949527,-2.613467299606824
A,B,D,E,C,A,5.168745337065193,-2.6114954203069534
A,B,C,A,A,A,1.5424371125400302,-2.607440248742424
A,E,C,D,C,B,1.4729592635659758,-2.603179235629929
A,B,C,A,B,A,4.706013575832449,-2.5938516270972203
D,E,D,C,B,A,4.507130723155607,-2.582592207632243
A,E,C,A,C,A,3.4367438875467333,-2.5768889974921705
A,B,C,A,C,A,1.0018690760000137,-2.5743648708937004
C,C,E,A,A,A,7.5499931888998315,-2.571128897863487
B,C,E,E,A,A,9.02977975550212,-2.569307079097175
D,D,E,A,B,B,1.2910128915463424,-2.5667807555253765
E,D,C,E,B,A,3.5442739110018144,-2.55650328732912
C,D,E,A,C,A,5.017132772972293,-2.548852695468704
E,D,C,D,B,A,4.478503740925529,-2.5419740834814664
C,A,A,D,B,B,4.958197083285696,-2.537281940499239
A,C,D,A,B,B,4.959571328982626,-2.534758288166215
E,A,D,C,C,B,1.5086269021157888,-2.5326272395897664
A,A,E,B,B,B,3.168929119107644,-2.530256051969404
A,A,A,E,C,B,5.315281349552135,-2.5297906976197715
A,A,E,A,C,B,5.346374443902758,-2.5291838127730264
E,A,E,C,A,A,4.732921182095093,-2.509331522611912
A,A,E,D,C,B,4.6840256440394965,-2.494493382766131
B,D,D,A,C,B,3.988305889983226,-2.476792778148944
E,A,D,C,B,B,2.018108119155212,-2.460704750527956
A,E,C,A,C,B,2.6283422575181605,-2.448186332582913
E,E,E,C,A,A,7.552421650564745,-2.430672270020429
D,A,C,D,A,B,4.138067301050273,-2.414234538263893
D,E,D,B,A,A,3.268094441343807,-2.4142313354739984
E,A,A,C,B,A,4.399927004600532,-2.3876414228548173
B,B,E,A,B,A,5.940230584841393,-2.3837711815344678
E,E,B,A,C,B,3.925291388689847,-2.3820515339059605
D,A,A,C,B,A,1.8722121664115257,-2.3738335425081134
D,B,D,E,B,A,6.902403411625239,-2.349867932221828
D,B,A,D,C,A,3.6119947332317754,-2.326353718556066
B,D,E,D,B,A,6.612230480652482,-2.324089680469574
B,B,A,E,B,A,5.84510642368504,-2.311711924319728
A,E,C,E,B,B,3.236009881879708,-2.291062957597175
D,B,D,E,C,B,7.832460303375054,-2.2902398042112417
A,C,E,E,B,B,7.225966121804802,-2.288678621167062
E,D,A,C,C,A,4.553535048620445,-2.281020678049548
E,A,B,D,B,B,2.5115250936849107,-2.2746582265259234
E,E,B,D,A,A,4.96902162173946,-2.272170438876472
C,E,B,A,B,B,-2.33778654560525,-2.2620252811089143
C,E,B,A,B,A,1.8631823051218175,-2.2536732411651403
E,C,A,B,B,B,-1.508953206944456,-2.238494994281841
D,E,C,A,C,A,4.52613171005075,-2.2310504880220523
A,E,D,C,C,A,3.3109596136349797,-2.2245866780253083
E,A,C,D,C,A,3.260062319981935,-2.213388414190763
C,A,A,C,A,A,1.4303137196936133,-2.1755060300211606
A,E,E,C,A,A,6.449008991354394,-2.164857499835545
D,A,D,C,A,A,3.484007901137967,-2.156475081434978
A,D,E,C,A,A,6.4347017753747435,-2.1426987848627346
A,D,C,D,A,A,3.506548041456464,-2.1228711590373868
E,C,C,A,A,A,4.662420492651649,-2.105421757767364
A,C,D,C,C,B,2.7091090018614445,-2.099891432577825
E,C,C,E,A,A,6.122089105571976,-2.0896243335164013
A,E,D,B,A,A,1.5209009873917667,-2.083262557114776
A,E,A,C,C,B,2.7405911522519393,-2.052740008126833
C,E,E,C,A,A,6.233415561360522,-2.05184998006701
A,E,A,C,C,A,4.104815574072946,-2.0448581193338877
